vacancy_id,candidate_id,label,reason
V001,C001,match,"Совпадение навыков: 3; опыт 1 лет."
V001,C007,match,"Совпадение навыков: 2; опыт 7 лет."
V002,C002,match,"Совпадение навыков: 3; опыт 2 лет."
V003,C003,match,"Совпадение навыков: 3; опыт 3 лет."
V004,C004,match,"Совпадение навыков: 3; опыт 4 лет."
V005,C005,match,"Совпадение навыков: 3; опыт 5 лет."
V006,C006,match,"Совпадение навыков: 3; опыт 6 лет."
V007,C007,match,"Совпадение навыков: 3; опыт 7 лет."
V008,C008,match,"Совпадение навыков: 3; опыт 8 лет."
V009,C009,match,"Совпадение навыков: 3; опыт 9 лет."
V010,C010,match,"Совпадение навыков: 3; опыт 10 лет."
V011,C011,match,"Совпадение навыков: 3; опыт 11 лет."
V012,C012,match,"Совпадение навыков: 3; опыт 12 лет."
V013,C013,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V014,C014,match,"Совпадение навыков: 2; опыт 1 лет."
V015,C015,match,"Совпадение навыков: 2; опыт 2 лет."
V016,C016,match,"Совпадение навыков: 2; опыт 3 лет."
V017,C017,match,"Совпадение навыков: 2; опыт 4 лет."
V018,C018,match,"Совпадение навыков: 2; опыт 5 лет."
V019,C019,match,"Совпадение навыков: 2; опыт 6 лет."
V020,C020,match,"Совпадение навыков: 2; опыт 7 лет."
V021,C021,match,"Совпадение навыков: 3; опыт 8 лет."
V022,C022,match,"Совпадение навыков: 3; опыт 9 лет."
V023,C023,match,"Совпадение навыков: 3; опыт 10 лет."
V024,C024,match,"Совпадение навыков: 3; опыт 11 лет."
V025,C025,match,"Совпадение навыков: 3; опыт 12 лет."
V026,C026,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V027,C027,match,"Совпадение навыков: 2; опыт 1 лет."
V028,C028,match,"Совпадение навыков: 2; опыт 2 лет."
V029,C029,match,"Совпадение навыков: 2; опыт 3 лет."
V030,C030,match,"Совпадение навыков: 2; опыт 4 лет."
V031,C031,match,"Совпадение навыков: 3; опыт 5 лет."
V032,C032,match,"Совпадение навыков: 3; опыт 6 лет."
V033,C033,match,"Совпадение навыков: 3; опыт 7 лет."
V034,C034,match,"Совпадение навыков: 3; опыт 8 лет."
V035,C035,match,"Совпадение навыков: 3; опыт 9 лет."
